Modelo;Combinación de Características;Puntaje R^2
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, pH, sulphates, alcohol;0,494507268
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,493542854
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,492325332
RandomForestRegressor;fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,487211055
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,486527185
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,486252128
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,483410672
RandomForestRegressor;volatile acidity, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,481961307
RandomForestRegressor;volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,481077489
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,480441291
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,480220765
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,480119591
RandomForestRegressor;volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,479648016
RandomForestRegressor;volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,479633611
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, pH, sulphates, alcohol;0,478672284
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,47856425
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,478393797
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,478240492
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,47786769
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,477818646
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,477359761
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,477034974
RandomForestRegressor;volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,476776379
RandomForestRegressor;volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,476735567
RandomForestRegressor;volatile acidity, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,476656685
RandomForestRegressor;fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,476345274
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,47624993
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,475902164
RandomForestRegressor;fixed acidity, citric acid, residual sugar, total sulfur dioxide, pH, sulphates, alcohol;0,475840774
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,475640826
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,475401094
RandomForestRegressor;fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,475276941
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,475261165
RandomForestRegressor;volatile acidity, citric acid, total sulfur dioxide, pH, sulphates, alcohol;0,475184684
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, pH, sulphates, alcohol;0,47472717
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, total sulfur dioxide, density, pH, sulphates, alcohol;0,474711737
RandomForestRegressor;fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,474248736
RandomForestRegressor;volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,474187345
RandomForestRegressor;citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,474106749
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,473870446
RandomForestRegressor;volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,473780933
RandomForestRegressor;volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,473773045
RandomForestRegressor;fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,473616653
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,473447572
RandomForestRegressor;volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,472991773
RandomForestRegressor;volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,472820977
RandomForestRegressor;volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,472698882
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,472638863
RandomForestRegressor;fixed acidity, volatile acidity, total sulfur dioxide, pH, sulphates, alcohol;0,47246498
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,47241628
RandomForestRegressor;fixed acidity, volatile acidity, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,472309275
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,472303102
RandomForestRegressor;fixed acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,471762248
RandomForestRegressor;volatile acidity, citric acid, residual sugar, free sulfur dioxide, density, sulphates, alcohol;0,471515314
RandomForestRegressor;volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,471234083
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates;0,471162404
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density, sulphates, alcohol;0,47103242
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,470391078
RandomForestRegressor;volatile acidity, citric acid, residual sugar, total sulfur dioxide, pH, sulphates, alcohol;0,470072465
RandomForestRegressor;volatile acidity, citric acid, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,470004901
RandomForestRegressor;volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,469869087
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,469864971
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,469433866
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,469356356
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,469208196
RandomForestRegressor;fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,469110108
RandomForestRegressor;volatile acidity, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,469023681
RandomForestRegressor;volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,469012363
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,468978067
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, free sulfur dioxide, pH, sulphates, alcohol;0,468905359
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, sulphates, alcohol;0,468830592
RandomForestRegressor;volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,468751025
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,46850752
RandomForestRegressor;citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,468250983
RandomForestRegressor;volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, sulphates, alcohol;0,468233149
RandomForestRegressor;fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,468135062
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,467998905
RandomForestRegressor;volatile acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,467970096
RandomForestRegressor;volatile acidity, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,467890871
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,467861376
RandomForestRegressor;volatile acidity, citric acid, chlorides, total sulfur dioxide, density, sulphates, alcohol;0,467785924
RandomForestRegressor;volatile acidity, citric acid, chlorides, pH, sulphates, alcohol;0,467700526
RandomForestRegressor;volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,467633306
RandomForestRegressor;fixed acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, sulphates, alcohol;0,4676165
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,467462167
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, free sulfur dioxide, pH, sulphates, alcohol;0,46745565
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,46740592
RandomForestRegressor;volatile acidity, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,467259818
RandomForestRegressor;fixed acidity, volatile acidity, residual sugar, chlorides, total sulfur dioxide, sulphates, alcohol;0,467181622
RandomForestRegressor;citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,466967956
RandomForestRegressor;fixed acidity, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,466859922
RandomForestRegressor;volatile acidity, citric acid, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,466693585
RandomForestRegressor;volatile acidity, residual sugar, free sulfur dioxide, pH, sulphates, alcohol;0,466474431
RandomForestRegressor;fixed acidity, volatile acidity, total sulfur dioxide, density, pH, sulphates, alcohol;0,466450423
RandomForestRegressor;volatile acidity, citric acid, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,466225096
RandomForestRegressor;volatile acidity, citric acid, residual sugar, total sulfur dioxide, sulphates, alcohol;0,466141756
RandomForestRegressor;volatile acidity, citric acid, residual sugar, free sulfur dioxide, pH, sulphates, alcohol;0,46607625
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, total sulfur dioxide, density, pH, sulphates, alcohol;0,465977476
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, residual sugar, chlorides, total sulfur dioxide, density, sulphates;0,465971989
RandomForestRegressor;fixed acidity, volatile acidity, chlorides, total sulfur dioxide, pH, sulphates, alcohol;0,465854695
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, density, pH, sulphates, alcohol;0,465805308
RandomForestRegressor;fixed acidity, volatile acidity, citric acid, chlorides, free sulfur dioxide, pH, sulphates, alcohol;0,465587869
RandomForestRegressor;volatile acidity, citric acid, residual sugar, chlorides, free sulfur dioxide, sulphates, alcohol;0,465409528
RandomForestRegressor;volatile acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, density, sulphates, alcohol;0,465387235
RandomForestRegressor;fixed acidity, volatile acidity, chlorides, free sulfur dioxide, total sulfur dioxide, density, pH, sulphates, alcohol;0,465262739
RandomForestRegressor;fixed acidity, volatile acidity, chlorides, total sulfur dioxide, density, pH, sulphates, alcohol;0,465260339
RandomForestRegressor;fixed acidity, citric acid, residual sugar, free sulfur dioxide, total sulfur dioxide, pH, sulphates, alcohol;0,465216782
